ug,gr,ri,iz,zs1,s1s2,ug_err,gr_err,ri_err,iz_err,zs1_err,s1s2_err,label
0.069060281,0.148571489,-0.125455444,-0.055853117,1.277398279,0.6940008,0.025208298,0.023476984,0.020660201,0.029868674,0.03901248,0.039623226,1
0.311649364,0.133281692,-0.14508634,0.268166586,1.430503954,0.505860402,0.044578277,0.033149805,0.026775364,0.054669466,0.058204383,0.042426407,1
0.191975936,-0.150385367,0.000996764,0.306295087,1.192969891,0.397736823,0.026284046,0.024780434,0.020314606,0.027372446,0.033873701,0.032557641,1
0.257488053,0.305605694,-0.00953476,-0.057595597,0.930601735,0.283428614,0.05959253,0.034657624,0.041164245,0.0988667,0.11221966,0.103600193,1
0.804598422,0.627722817,0.214643119,0.417316777,1.084635479,0.148464007,0.06345236,0.027980812,0.025792826,0.029331353,0.037810285,0.04110961,1
0.298804693,0.057567465,0.124454978,0.229139191,1.826643403,0.34801449,0.042936493,0.027365986,0.025132246,0.044563707,0.049757122,0.041725292,1
0.285151256,0.40906187,0.052661632,0.698769223,1.359980159,0.281579629,0.03582488,0.024990626,0.02038963,0.023741236,0.031158378,0.034655447,1
1.353936208,-0.240802774,0.080665098,0.606418605,0.368274449,0.40337616,0.12224736,0.035168555,0.045723967,0.100821845,0.117543758,0.116211015,1
0.134337928,0.072170669,0.048473769,0.186328827,-0.229189701,0.403500742,0.025705822,0.020942328,0.022144571,0.03353452,0.051979857,0.065192024,1
0.710547122,0.187744135,0.032076447,0.262182613,0.393755024,0.152514773,0.11892831,0.048426177,0.046996586,0.13098097,0.17520812,0.242002066,1
0.137610557,-0.016235283,0.215916742,0.079590471,0.289699435,0.518400614,0.028365817,0.029785953,0.03128039,0.029734155,0.039894715,0.04596738,1
0.231826879,0.248623562,-0.020764214,0.063204195,0.876458906,0.472435231,0.05447685,0.03165756,0.035668913,0.0896689,0.097330505,0.072249567,1
0.472773878,0.171985526,0.266953534,-0.065450779,0.714849452,0.646617805,0.05224965,0.02941844,0.022049334,0.04616386,0.064141523,0.067178866,1
0.170759942,0.165456506,-0.094524329,0.082729841,0.980988063,0.486096313,0.032340467,0.030966867,0.02299448,0.035831954,0.044192363,0.042449971,1
0.007905061,0.10247884,0.011436691,-0.055943542,0.538595154,0.540482251,0.019568667,0.023928612,0.023912074,0.022506898,0.030559226,0.034655447,1
0.046851895,0.082895458,-0.033142564,0.499895815,1.538942895,0.266560976,0.03553382,0.024170527,0.02472654,0.03674111,0.04319564,0.041725292,1
-0.184224605,0.308522234,-0.040745029,-0.106196024,0.962050477,0.264611604,0.069299154,0.033356808,0.03707611,0.10543813,0.115209395,0.094625578,1
0.104654592,0.194824408,-0.099868963,0.083425034,1.081207508,0.399027815,0.042038362,0.035159063,0.041116517,0.06322998,0.063439854,0.055973208,1
0.190570639,0.206502394,0.05666627,-0.064353645,0.753009769,0.661147502,0.020745734,0.020761373,0.02201112,0.02453224,0.029275339,0.03324154,1
0.132302103,0.006493319,-0.075053578,0.382010149,1.087724184,0.370573364,0.0373143,0.022133555,0.018143637,0.021647021,0.029487968,0.032557641,1
0.631658234,-0.138051634,-0.121579381,0.256940646,1.593909208,0.393518976,0.0499492,0.031475235,0.03257369,0.0609378,0.064535909,0.045276926,1
0.306701964,0.12689326,0.028913147,-0.101781234,1.178777456,0.128577334,0.10635908,0.05256374,0.0709968,0.25442228,0.262441358,0.176502125,1
0.006146017,0.416211226,0.031571587,-0.041246525,0.317173412,0.477632811,0.044261098,0.029376887,0.030230206,0.05648319,0.074767234,0.084504438,1
0.312858013,0.098346301,0.404339724,0.125371151,0.786298948,0.577622466,0.07105625,0.03657099,0.038563047,0.08965529,0.100820539,0.077794601,1
0.309044098,0.552756256,0.238895134,0.245137481,2.052850579,0.511513127,0.037684042,0.020891078,0.021303302,0.044051882,0.048075902,0.034655447,1
3.741561662,1.45041876,0.120190605,0.14956676,0.751837647,-0.215461228,0.50818497,0.031794515,0.020542685,0.03168974,0.038508012,0.048010416,0
